WPS Index Rank,Country,Code,"Women, Peace, and Security Index",Region,Education,Employment,Financial Inclusion,Cell Phone Use,Parliamentary Representation,Absence of Legal Discrimination,Access to Justice,Maternal Mortality Ratio,Son Bias,Intimate partner violence ,Community Safety,Political Violence Targeting Women,Proximity to Conflict
16,Canada,CAN,0.885,DC,13.9,75.5,99.5,88,36,100,3,12,105.5,2.6,63,0,0
17,Latvia,LVA,0.884,CEE&CA,13.6,77.8,97.6,100,31,100,3.8,19,106.3,6.3,65,0,0
17,Singapore,SGP,0.884,DC,11.7,76.6,96.9,100,29.6,82.5,3.2,6,106,2.4,97,0,0
19,Switzerland,CHE,0.877,DC,13.5,80.1,99,91,37.8,88.1,3.9,5,105.1,1.7,84,0,0
20,United Arab Emirates,ARE,0.872,MENA,13.4,59,86.7,100,50,82.5,2.1,3,104.5,8.2,91,0,0
21,Germany,DEU,0.869,DC,14,78.5,100,96,32.6,100,3.9,4,105.6,5.1,78,0,0
22,Japan,JPN,0.866,DC,12.5,78.6,98.8,92,19,78.8,3.6,3,105.1,3.9,71,0,0
23,France,FRA,0.864,DC,11.4,74.1,100,96,36.5,100,3.4,7,105,5,70,0,0
23,United Kingdom,GBR,0.864,DC,13.6,75.8,99.9,95,34.7,97.5,3,8,105.5,4.2,73,0,0
25,Spain,ESP,0.862,DC,10.5,69,97.5,98,43.5,100,3.8,3,106.5,2.9,75,0,0
26,Portugal,PRT,0.861,DC,9.6,78.6,90.2,94,34.8,100,3,15,105.7,4.4,68,0,0
27,Poland,POL,0.854,CEE&CA,13.3,74.5,95.7,95,29.1,93.8,2.8,2,106.1,3.1,60,0,0
27,Taiwan,TWN,0.854,EAP,10.3,65.6,93.6,95,41.6,83.3,3.4,13,106.7,6.5,82,0,0
29,Serbia,SRB,0.844,CEE&CA,11,71.5,89.8,93,37.2,93.8,3.1,11,106.9,3.9,69,0,0
30,Malta,MLT,0.841,DC,12,76.1,95.3,96,29.1,91.3,3.3,8,106.8,4,56,0,0
31,United States,USA,0.84,DC,14,71.2,96.8,99,28.3,91.3,3.4,17,104.9,6,58,0,0
32,Czechia,CZE,0.832,CEE&CA,12.7,79.3,93.4,97,24.3,93.8,3.5,3,105.4,4.1,70,0,0
32,Hungary,HUN,0.832,CEE&CA,12.1,80.1,86.9,96,15.2,93.8,3,12,105.9,5.7,65,0,0
34,Costa Rica,CRI,0.824,LAC,8.9,55.9,61.1,94,49.1,91.9,3.5,24,104.6,7.2,44,0,0
35,Uruguay,URY,0.822,LAC,10.8,71.8,75.7,96,29.2,88.8,3.3,15,105.5,4.3,40,0,0
36,Moldova,MDA,0.821,CEE&CA,11.9,78.1,62.9,90,40,90.6,2.8,19,106.2,9.1,58,0,0
37,South Korea,KOR,0.815,DC,12.1,67.8,98.7,96,20.3,88.1,3.3,4,105.9,8,72,0,0
38,Bulgaria,BGR,0.814,CEE&CA,11.5,76.9,84.3,91,21.3,90.6,2.4,6,106,5.9,64,0,0
39,Italy,ITA,0.811,DC,10.6,60.1,97.1,99,33.9,97.5,3.7,6,105.9,3.5,44,0,0
40,Seychelles,SYC,0.81,SSA,11,77.9,76.5,87.3,28.6,76.3,3.9,42,103.6,10.2,58.6,0,0
41,Hong Kong,HKG,0.809,EAP,12,67.7,98.2,98,18.9,91.9,2.2,29.5,107.7,2.5,92,0,0
42,Barbados,BRB,0.807,LAC,10.4,76.7,83.6,93.7,29.4,80,3.1,35,103.5,6.2,56.4,0,0
